instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_celsius,atemp_celsius,hum_percent,windspeed_kmh,temp_bin,humidity_bin,is_weekend,month,year,windspeed_bin,time_period
1,2011-01-01,spring,2011,1,0,0,Sunday,0,1,0.24,0.2879,0.81,0.0,3,13,16,9.84,14.395,81.0,0.0,0-10°C,75-100%,True,1,2011,,Night (0-6)
2,2011-01-01,spring,2011,1,1,0,Sunday,0,1,0.22,0.2727,0.8,0.0,8,32,40,9.02,13.635,80.0,0.0,0-10°C,75-100%,True,1,2011,,Night (0-6)
3,2011-01-01,spring,2011,1,2,0,Sunday,0,1,0.22,0.2727,0.8,0.0,5,27,32,9.02,13.635,80.0,0.0,0-10°C,75-100%,True,1,2011,,Night (0-6)
4,2011-01-01,spring,2011,1,3,0,Sunday,0,1,0.24,0.2879,0.75,0.0,3,10,13,9.84,14.395,75.0,0.0,0-10°C,50-75%,True,1,2011,,Night (0-6)
5,2011-01-01,spring,2011,1,4,0,Sunday,0,1,0.24,0.2879,0.75,0.0,0,1,1,9.84,14.395,75.0,0.0,0-10°C,50-75%,True,1,2011,,Night (0-6)
6,2011-01-01,spring,2011,1,5,0,Sunday,0,2,0.24,0.2576,0.75,0.0896,0,1,1,9.84,12.879999999999999,75.0,6.0032,0-10°C,50-75%,True,1,2011,0-10 kmh,Night (0-6)
7,2011-01-01,spring,2011,1,6,0,Sunday,0,1,0.22,0.2727,0.8,0.0,2,0,2,9.02,13.635,80.0,0.0,0-10°C,75-100%,True,1,2011,,Night (0-6)
8,2011-01-01,spring,2011,1,7,0,Sunday,0,1,0.2,0.2576,0.86,0.0,1,2,3,8.200000000000001,12.879999999999999,86.0,0.0,0-10°C,75-100%,True,1,2011,,Morning (6-12)
9,2011-01-01,spring,2011,1,8,0,Sunday,0,1,0.24,0.2879,0.75,0.0,1,7,8,9.84,14.395,75.0,0.0,0-10°C,50-75%,True,1,2011,,Morning (6-12)
10,2011-01-01,spring,2011,1,9,0,Sunday,0,1,0.32,0.3485,0.76,0.0,8,6,14,13.120000000000001,17.424999999999997,76.0,0.0,10-20°C,75-100%,True,1,2011,,Morning (6-12)
11,2011-01-01,spring,2011,1,10,0,Sunday,0,1,0.38,0.3939,0.76,0.2537,12,24,36,15.58,19.695,76.0,16.997899999999998,10-20°C,75-100%,True,1,2011,0-10 kmh,Morning (6-12)
12,2011-01-01,spring,2011,1,11,0,Sunday,0,1,0.36,0.3333,0.81,0.2836,26,30,56,14.76,16.665,81.0,19.0012,10-20°C,75-100%,True,1,2011,0-10 kmh,Morning (6-12)
13,2011-01-01,spring,2011,1,12,0,Sunday,0,1,0.42,0.4242,0.77,0.2836,29,55,84,17.22,21.21,77.0,19.0012,10-20°C,75-100%,True,1,2011,0-10 kmh,Morning (6-12)
14,2011-01-01,spring,2011,1,13,0,Sunday,0,2,0.46,0.4545,0.72,0.2985,47,47,94,18.86,22.725,72.0,19.999499999999998,10-20°C,50-75%,True,1,2011,0-10 kmh,Afternoon (12-18)
15,2011-01-01,spring,2011,1,14,0,Sunday,0,2,0.46,0.4545,0.72,0.2836,35,71,106,18.86,22.725,72.0,19.0012,10-20°C,50-75%,True,1,2011,0-10 kmh,Afternoon (12-18)
